"Bill of Material for "
"On 4/22/2016 at 9:52:16 PM"

"Comment","Pattern","Quantity","Components"

"","C0603","1","C12","Capacitor Non Polarized"
"","R0603","5","R10, R11, R12, R13, R32","Resistor"
"10029449-111RLF","10029449-111RLF","1","J1","CONN HDMI RECPT 19POS SMT R/A"
"100K","R0402","3","R6, R7, R36","RES 100K OHM 1% 1/16W 0402"
"100K","R0603","1","R1","RES 100K OHM 1/10W 1% 0603 SMD"
"100nF","C0402","29","C4, C13, C15, C17, C22, C25, C28, C30, C34, C37, C39, C41, C49, C51, C52, C53, C54, C55, C56, C59, C60, C64, C65, C66, C68, C80, C81, C92, C95","CAP CER 0402 100nF 16V 10% X7R"
"100nF","C0603","3","C6, C7, C14","CAP CER 0603 100nF 50V 10% X7R"
"10K","R0402","3","R19, R20, R23","RES SMD 10K OHM 1% 1/16W 0402"
"10nF","C0402","21","C16, C24, C26, C27, C29, C31, C33, C35, C36, C38, C40, C42, C44, C47, C67, C69, C70, C71, C73, C75, C91","CAP CER 10nF 50V X7R 0402"
"10uF","C0805","4","C10, C11, C45, C82","CAP CER 0805 10uF 10V 10% X5R"
"10uH","INDP3027X15L","1","L1","Ind 10uH 1A"
"165K","R0402","1","R8","RES 165K OHM 1% 1/16W 0402"
"191K","R0603","1","R2","RES 191K OHM 1% 1/10W 0603 SMD"
"1k","R0402","7","R21, R24, R25, R26, R27, R28, R33","RES 0402 1k 63mW 1%"
"1K","R0603","1","R3","RES 0603 1K 100mW 1%"
"1M","R0402","2","R44, R72","RES 0402 1M 100mW 5%"
"1uF","C0402","4","C23, C32, C46, C83","CAP CER 0402 1uF 6.3V 10% X5R"
"1uF","C0603","2","C5, C62","CAP CER 0603 1uF 10V Y5V"
"1uF","C0805","1","C9","CAP CER 0805 1uF 50V 10% X7R"
"20021121-00010C4LF","FTSH-105-XX-X-DV","3","J3, J4, J6","20021121-00010C4LF"
"22pF","C0402","2","C57, C58","CAP CER 0402 22pF 50V 5% C0G"
"22r","R0402","2","R43, R46","RES 0402 22r 63mW 1%"
"2K","R0402","1","R5","RES SMD 2K OHM 1% 1/16W 0402"
"3.3K","R0603","1","R22","RES 0603 3.3K 100mW 1%"
"330nF","C0603","1","C1","CAP CER 0603 330nF 50V 10% X7R"
"4.7K","R0603","2","R4, R35","RES 0603 4.7K 100mW 1%"
"4.7nF","C0402","1","C48","CAP CER 0402 4.7nF 25V 10% X7R"
"4.7uF","C0603","18","C2, C3, C8, C18, C19, C20, C21, C74, C76, C78, C79, C84, C85, C86, C87, C88, C89, C90","CAP CER 4.7UF 10V X5R 0603"
"56K","R0603","1","R15","RES 56K OHM 1% 1/10W 0603 56K"
"7M-16.000MEEQ-T","CRYS320250","1","Y1","Crystal 16mHz 10ppm 10pF"
"AP2127K-1.8","SOT23-5P285X140-5L","1","U8","LDO 1.8V 0.3A SOT25"
"AP2127K-3.3","SOT23-5P285X140-5L","1","U7","LDO 3.3V 0.3A SOT25"
"ASFL1-27.000MHZ-EK-T","OSC-5x3.2x1.3","1","U10","OSC XO 27.000MHZ HCMOS TTL SMD"
"ATmega32U4-MU","44PW_L","1","U9",""
"BAT54","SOD523","1","D1","Diode Schottky 30V 200mA"
"BD12IA5WEFJ-E2","TSOP-HTSOP-J8-127P600X100_HS-9M","1","U5","LDO Regulator 500mA 1.2V"
"C0402TBD","C0402","6","C43, C50, C61, C77, C93, C94","Capacitor Non Polarized"
"C0603TBD","C0603","1","C72","Capacitor Non Polarized"
"C0805TBD","C0805","1","C63","Capacitor Non Polarized"
"DLW21HN900SQ2L","DLW21HN900SQ2L","1","L5","Common Mode Chokes Dual 90Ohm 100MHz 330mA 350mOhm DCR SMD"
"DMC2400UV","SOT563-FL50P162X170-6N","1","Q1","Mosfet Complementary Pair N +P"
"ESD9B3.3ST5G","SOD923-100X40-2N","3","D2, D3, D13","11.5 V 15 pF SMT Transient Voltage Suppressor - SOD-923"
"FAN5333A","SOT95P270X145-5L","1","U3","LED Driver w/ integrated switch"
"FIDUCIAL","FIDUCIAL-1X2","6","FID1, FID2, FID3, FID4, FID5, FID6","Fiducial"
"IP4787CZ32Y","QFN32-HVQFN32","1","U4","IC DVI/HDMI ESD PROTECT 32HVQFN"
"LS050T1SX10","504248-3410","1","J5","5"HD LCD Module connector"
"MAX1759","TSSOP50P490X109-10L","1","U1","Buck/Boost Regulating Charge Pump"
"MAX868","TSSOP50P490X109-10L","1","U2","Regulated -2x Inverting Charge Pump"
"MPZ1608S221A","C0603","24","FL1, FL2, FL3, FL4, FL5, FL6, FL7, FL8, FL9, FL10, FL11, FL12, FL13, FL14, FL15, FL16, FL17, FL18, FL19, FL20, FL21, FL22, FL23, FL24","Ferrite"
"PINHD-2X3","2X03","1","X18","PIN HEADER"
"PRTR5V0U2F","SOT886","1","D27","Rail-to-rail ESD protection devices"
"PTS840 GKP SMTR LFS","PTS840 GKP SMTR LFS","2","S1, S2","SWITCH TACTILE SPST-NO 0.05A 12V"
"R0402TBD","R0402","6","R9, R14, R16, R17, R18, R31","Resistor"
"R0603TBD","R0603","3","R29, R30, R34","Resistor"
"TC358779","BGA80-0707-065","1","U6",""
"TP2053CA050C","FFC8x05-top","1","U11","UltiMachine 5" HD Touch Interface"
"USB Micro","10118194-0001LF","1","J2","Conn Recept USB - micro B 2.0 5 Pos SMT, Rt Angle, Horizontal"
